Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene
hydroxypyruvate isomerase	hyi	b0508	535710	536486
Lon protease	lon	b0439	458888	461242
cytochrome <i>bd</i>-I ubiquinol:oxygen oxidoreductase	cydH // cydX // cydB // cydA		1737456	1737545
DNA-binding transcriptional dual regulator IHF	ihfB // ihfA		963828	964112
quinolinate phosphoribosyltransferase (decarboxylating)	nadC	b0109	117752	118645
transaldolase B	talB	b0008	8238	9191
coproporphyrinogen III oxidase	hemF	b2436	2553225	2554124
arginine:agmatine antiporter	adiC	b4115	4335694	4337031
polysaccharide export complex	wzc // wza		2133490	2135652
small conductance mechanosensitive channel MscS	mscS	b2924	3068947	3069807
peptide antibiotic/peptide nucleic acid transporter	sbmA	b0377	396639	397859
UDP-N-acetyl-D-mannosamine dehydrogenase	wecC	b3787	3971260	3972522
dihydroorotase	pyrC	b1062	1121561	1122607
L-methionine/D-methionine ABC transporter	metQ // metI // metN		220113	220928
oligoribonuclease	orn	b4162	4391604	4392149
betaine aldehyde dehydrogenase	betB	b0312	327261	328733
2-methylisocitrate lyase	prpB	b0331	348682	349572
replication-associated recombination protein A	rarA	b0892	937994	939337
isocitrate dehydrogenase	icd	b1136	1195123	1196373
RffC	rffC	b3790	3974467	3975141
L-amino acid N-acyltransferase	mnaT	b1448	1518328	1518846
putrescine ABC transporter	potF // potI // potH // potG		893784	894896
putative PTS enzyme II SgcBCA	sgcA // sgcC // sgcB		4527549	4527980
<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	purE	b0523	552591	553100
beta-glucuronidase	uidA	b1617	1694260	1696071
sulfate/thiosulfate ABC transporter	cysA // cysU // cysW // sbp		2539717	2540814
&alpha;-D-xyloside xylohydrolase	yicI	b3656	3832219	3834537
regulator of diguanylate cyclase RdcA	rdcA	b4109	4327135	4329363
Sec Holo-Translocon	yidC // secE // secG // secY // secD // secF // yajC		3885076	3886722
transcription termination factor Rho	rho	b3783	3966417	3967676
rhamnulose-1-phosphate aldolase	rhaD	b3902	4093448	4094272
glutarate dioxygenase GlaH	glaH	b2659	2788985	2789962
acetyl-CoA carboxylase complex	accB // accC // accA // accD		3405436	3405906
small heat shock protein IbpB	ibpB	b3686	3866469	3866897
D-arabinose 5-phosphate isomerase KdsD	kdsD	b3197	3341266	3342252
lipoyl synthase	lipA	b0628	659251	660216
aspartate carbamoyltransferase, regulatory subunit	pyrI	b4244	4470986	4471447
ferritin iron-storage complex	ftnA	b1905	1988716	1989213
AMP nucleosidase	amn	b1982	2055061	2056515
phenylacetyl-CoA thioesterase	paaI	b1396	1460471	1460893
5-(carboxyamino)imidazole ribonucleotide synthase	purK	b0522	551527	552594
DNA-binding transcriptional repressor CytR	cytR	b3934	4123431	4124456
glutathione hydrolase	ggt		3585081	3586823
putative PTS enzyme II FrwCBDPtsA	ptsA // frwD // frwB // frwC		4139720	4142221
lipophilic envelope spanning tunnel	letB	b1834	1917510	1920143
periplasmic protein CpxP	cpxP	b4484	4105820	4106320
McrB hexamer	mcrB	b4346	4577958	4579337
DcuS-DctA sensor complex	dcuS // dctA		4350031	4351662
ferric enterobactin outer membrane transport complex	fepA // tonB // exbB // exbD		610254	612494
putative transport complex, ABC superfamily	ybbA // ybbP		519733	520419
isocitrate lyase	aceA	b4015	4217109	4218413
diguanylate cyclase DgcZ	dgcZ	b1535	1622960	1623850
ubiquinone biosynthesis complex UbiUV	ubiU // ubiV		3301485	3302480
Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA	nhaA	b0019	17489	18655
outer membrane porin C	ompC	b2215	2311646	2312749
putative 3-phenylpropionate/cinnamate dioxygenase	hcaE // hcaF // hcaD // hcaC		2669032	2670393
bacterioferritin	bfr	b3336	3466249	3466725
adenylyl-sulfate kinase	cysC	b2750	2873387	2873992
phenylhydantoinase	hyuA	b2873	3010028	3011413
molybdopterin-synthase adenylyltransferase	moeB	b0826	864380	865129
23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase	rlmH	b0636	668248	668715
molybdenum cofactor insertion chaperone PaoD	paoD	b0283	297770	298726
glutathionyl-hydroquinone reductase YqjG	yqjG	b3102	3251024	3252010
putative oxidoreductase YdjA	ydjA	b1765	1848125	1848676
argininosuccinate synthetase	argG	b3172	3318637	3319980
carbon-phosphorus lyase core complex	phnJ // phnI // phnH // phnG		4318761	4319606
FtsH/HflKC protease complex	ftsH // hflK // hflC		3325001	3326935
MqsA-MqsR antitoxin/toxin complex	mqsR // mqsA		3168248	3168544
3-hydroxy acid dehydrogenase YdfG	ydfG	b1539	1627517	1628263
zinc-binding phosphatase YcdX	ycdX	b1034	1098879	1099616
gamma-butyrobetainyl-CoA:carnitine CoA transferase	caiB	b0038	37898	39115
carnitine monooxygenase	yeaW // yeaX		1884665	1885789
xanthosine phosphorylase	xapA	b2407	2524045	2524878
biotin carboxylase	accC	b3256	3405917	3407266
glutathione <i>S</i>-transferase YfcF	yfcF	b2301	2419841	2420485
glucose-6-phosphate isomerase	pgi	b4025	4233758	4235407
&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase	bglF	b3722	3903720	3905597
Tap<SUP>glu-Me</SUP>	tap // cheW // cheA		1969383	1970984
putative oligopeptide ABC transporter ATP binding subunit YejF // putative oligopeptide ABC transporter membrane subunit YejB // putative oligopeptide ABC transporter membrane subunit YejE // putative oligopeptide ABC transporter periplasmic binding protein YejA	yejA // yejE // yejB // yejF		2272364	2274178
7-alpha-hydroxysteroid dehydrogenase	hdhA	b1619	1697273	1698040
isocitrate dehydrogenase-P	icd		1195123	1196373
<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase	argD	b3359	3488960	3490180
antitoxin/DNA-binding transcriptional repressor YefM	yefM	b2017	2089462	2089713
heat shock protein HspQ	hspQ	b0966	1028404	1028721
UDP-N-acetylglucosamine 2-epimerase	wecB	b3786	3970133	3971263
tripartite efflux pump EmrKY-TolC	emrY // emrK // tolC		2480638	2482176
galactofuranose ABC transporter	ytfQ // ytfT // ytfR // yjfF		4449962	4450918
DNA-binding transcriptional dual regulator AsnC	asnC	b3743	3926545	3927003
ubiquinol&mdash;[NapC cytochrome <i>c</i>] reductase NapGH	napH // napG		2298715	2299578
aspartate ammonia-lyase	aspA	b4139	4366891	4368327
anthranilate synthase subunit TrpE // anthranilate synthase subunit TrpD	trpD // trpE		1319789	1321384
HslU hexamer	hslU	b3931	4120416	4121747
asparagine--tRNA ligase	asnS	b0930	987585	988985
dCMP phosphohydrolase	yfbR	b2291	2408862	2409461
N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit	tsaD // tsaB		3209530	3210543
ClpP serine protease	clpP	b0437	456677	457300
peptidyl-prolyl <i>cis-trans</i> isomerase FklB	fklB	b4207	4428935	4429555
xanthine-guanine phosphoribosyltransferase	gpt	b0238	255977	256435
flagellum	fliD // fliC // flgL // flgK // flgE // flgH // motA // motB // flgB // flgC // flgF // flgG // flgI // fliF // fliG // fliM // fliN		2003872	2005278
c-di-GMP-binding biofilm dispersal mediator protein	bdcA	b4249	4473340	4474053
protein/nucleic acid deglycase 1	hchA	b1967	2035835	2036686
FMN dependent NADH:quinone oxidoreductase	azoR	b1412	1482255	1482860
curli assembly component CsgF // curli secretion channel	csgG // csgF		1100851	1101684
fructoselysine 6-phosphate deglycase	frlB	b3371	3501268	3502290
5-oxoprolinase	pxpA // pxpB // pxpC		745165	745899
methylmalonyl-CoA decarboxylase	scpB	b2919	3063993	3064778
glycine cleavage system	gcvT // gcvH // gcvP // lpd		3049573	3050667
fumarase B	fumB	b4122	4345680	4347326
cell division protein ZapA	zapA	b2910	3055612	3055941
NusB-S10 complex	nusB // rpsJ		435137	435556
succinate:quinone oxidoreductase subcomplex	sdhA // sdhB // sdhC // sdhD		755907	757673
D-aminoacyl-tRNA deacylase	dtd	b3887	4077015	4077452
DosC-DosP complex	dosC // dosP		1565758	1567140
cysteine sulfinate desulfinase	csdA	b2810	2943337	2944542
glyceraldehyde-3-phosphate dehydrogenase A	gapA	b1779	1862771	1863766
3-aminoacrylate deaminase	rutC	b1010	1071773	1072159
3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	b0134	148807	149601
voltage-gated K<sup>+</sup> channel	kch	b1250	1309016	1310269
serine protease inhibitor ecotin	eco	b2209	2303905	2304393
ClpA ATP-dependent protease specificity component and chaperone	clpA	b0882	923264	925540
RNA-binding protein Hfq	hfq	b4172	4400288	4400596
trans-2-enoyl-CoA reductase (NADPH)				
isoaspartyl dipeptidase	iadA	b4328	4558354	4559526
tRNA Cm32/Um32 methyltransferase	trmJ	b2532	2662583	2663323
polyphosphate kinase	ppk	b2501	2623044	2625110
heme-containing peroxidase/deferrochelatase	efeB	b1019	1083376	1084647
galactoside O-acetyltransferase	lacA	b0342	361249	361860
tryptophan synthase subunit alpha // tryptophan synthase, beta subunit dimer	trpB // trpA		1317222	1318415
RNA polymerase sigma 32	rpoH // rpoA // rpoC // rpoB		3599929	3600783
NAD(P)H-dependent nitroreductase NfsB	nfsB	b0578	604771	605424
DNA binding transcriptional dual regulator ChbR	chbR	b1735	1818605	1819447
putative PTS enzyme II FryBCA	fryA // fryB // fryC		2501990	2504485
stationary phase nucleoid component that sequesters iron and protects DNA from damage	dps	b0812	848408	848911
RNA polymerase sigma 70	rpoD // rpoA // rpoC // rpoB		3213047	3214888
iron-catecholate outer membrane transport complex II	cirA // tonB // exbB // exbD		2244778	2246769
sulfurtransferase complex TusBCD	tusD // tusC // tusB		3475332	3475718
cytochrome <i>bo<sub>3</sub></i> ubiquinol:oxygen oxidoreductase	cyoC // cyoB // cyoA // cyoD		448046	448660
6-N-hydroxylaminopurine resistance protein	ycbX	b0947	1006491	1007600
aliphatic sulfonate ABC transporter	ssuB // ssuC // ssuA		993277	994044
7-cyano-7-deazaguanine reductase	queF	b2794	2925348	2926196
regulatory ATPase RavA	ravA	b3746	3929597	3931093
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ispF	b2746	2871301	2871780
ribonucleoside-diphosphate reductase 1	nrdB // nrdA		2347384	2348514
holo-[acyl-carrier-protein] synthase	acpS	b2563	2700618	2700998
aspartate&mdash;tRNA ligase	aspS	b1866	1948750	1950522
2,3-diaminopropionate ammonia-lyase	ygeX	b2871	3007510	3008706
trehalose-specific PTS enzyme II	crr // treB		2535834	2536343
catabolic threonine dehydratase	tdcB	b3117	3265039	3266028
glutamate-5-semialdehyde dehydrogenase	proA	b0243	261503	262756
ureidoglycolate dehydrogenase	allD	b0517	545314	546363
NADH:quinone oxidoreductase I	nuoB // nuoC // nuoE // nuoF // nuoG // nuoI // nuoN // nuoM // nuoL // nuoK // nuoJ // nuoH // nuoA		2403951	2404613
quinate/shikimate dehydrogenase	ydiB	b1692	1773789	1774655
GroEL-GroES chaperonin complex	groS // groL		4370688	4370981
transcriptional antiterminator BglG	bglG	b3723	3905731	3906567
pyruvate formate-lyase (inactive)	pflB	b0903	951272	953554
purine nucleoside phosphoramidase	hinT	b1103	1161885	1162244
3-isopropylmalate dehydratase	leuD // leuC		78848	79453
aminopeptidase A/I and DNA-binding transcriptional repressor PepA	pepA	b4260	4484440	4485951
pyruvate kinase 1	pykF	b1676	1755698	1757110
glycine betaine ABC transporter, non-osmoregulatory	yehW // yehX // yehY // osmF		2215745	2216476
free methionine-(<i>R</i>)-sulfoxide reductase	msrC	b1832	1915631	1916128
NarQ-<i>N</i>-phospho-L-histidine	narQ		2585731	2587431
protein disulfide isomerase DsbC	dsbC	b2893	3038112	3038822
fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenase	adhE	b1241	1295446	1298121
tellurite methyltransferase	tehB	b1430	1501562	1502155
methionine transaminase	ybdL	b0600	633586	634746
ribonucleoside-diphosphate reductase 1, &alpha; subunit dimer	nrdA	b2234	2344865	2347150
DNA-binding transcriptional activator CaiF	caiF	b0034	34300	34695
glycine decarboxylase	gcvP	b2903	3046168	3049041
The Tol-Pal Cell Envelope Complex	tolQ // tolR // tolB // tolA // pal		775153	775845
Tsr<SUP>glu</SUP>	tsr // cheA // cheW		4591657	4593312
tetrahydrodipicolinate succinylase	dapD	b0166	185123	185947
2,3-diketo-L-gulonate:Na+ symporter - periplasmic binding protein // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit	yiaM // yiaN // yiaO		3744328	3744801
hydrogenase isozymes nickel incorporation protein HypB	hypB	b2727	2851001	2851873
protease IV, a signal peptide peptidase	sppA	b1766	1848837	1850693
glucose-specific PTS enzyme II	crr // ptsG		2535834	2536343
D-alanyl-D-alanine carboxypeptidase DacA	dacA	b0632	662752	663963
glucose-1-phosphate thymidylyltransferase 2	rffH	b3789	3973608	3974489
DNA-binding transcriptional repressor MarR	marR	b1530	1619120	1619554
lactaldehyde reductase	fucO	b2799	2931865	2933013
ribonucleoside-diphosphate reductase 1, &beta; subunit dimer	nrdB	b2235	2347384	2348514
phosphoenolpyruvate synthetase	ppsA	b1702	1784734	1787112
glutathione ABC transporter	gsiC // gsiD // gsiB // gsiA		870967	871887
DNA-binding transcriptional dual regulator ArgP	argP	b2916	3059753	3060646
5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG	mnmG	b3741	3923744	3925633
antitoxin/DNA-binding transcriptional repressor HigA	higA	b3082	3233728	3234144
protein MoaB	moaB	b0782	818055	818567
activated pyruvate-formate lyase	pflB		951272	953554
aerobic glycerol 3-phosphate dehydrogenase	glpD	b3426	3562013	3563518
2-hydroxy-6-oxononatrienedioate hydrolase	mhpC	b0349	371239	372105
chaperone protein DnaJ	dnaJ	b0015	14168	15298
formate hydrogenlyase complex	hycD // hycC // hycF // hycG // hycB // hycE // fdhF		2846489	2847412
carbonic anhydrase 1	cynT	b0339	358799	359458
peptidyl-prolyl <i>cis-trans</i> isomerase/OMP chaperone FkpA	fkpA	b3347	3476607	3477419
predicted xanthine dehydrogenase	ygfM // xdhD		3020540	3021319
4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	b0029	26277	27227
fructose-1,6-bisphosphatase 1	fbp	b4232	4454611	4455609
ATP phosphoribosyltransferase	hisG	b2019	2090192	2091091
energy transducing Ton complex	exbD // exbB // tonB		3150818	3151243
aldehyde dehydrogenase A, NAD-linked	aldA	b1415	1488232	1489671
pyrimidine-specific ribonucleoside hydrolase RihA	rihA	b0651	683477	684412
outer membrane phospholipase A	pldA	b3821	4004862	4005731
4-hydroxythreonine-4-phosphate dehydrogenase	pdxA	b0052	52427	53416
asparagine synthetase B	asnB	b0674	697513	699177
D-alanine&mdash;D-alanine ligase B	ddlB	b0092	102233	103153
2-oxoglutarate dehydrogenase E2 subunit	sucB	b0727	761522	762739
pyruvate oxidase	poxB	b0871	909331	911049
D-gluconate kinase, thermostable	gntK	b3437	3577065	3577592
small heat shock protein IbpA	ibpA	b3687	3867009	3867422
putrescine ABC exporter	sapD // sapB // sapC // sapF		1352636	1353628
RNA polymerase sigma 54	rpoN // rpoA // rpoC // rpoB		3344717	3346150
glutamate dehydrogenase	gdhA	b1761	1842371	1843714
exodeoxyribonuclease V	recB // recC // recD		2952461	2956003
ribonucleoside-diphosphate reductase 2	nrdF // nrdE		2803502	2804461
enolase	eno	b2779	2906643	2907941
glutamate-putrescine ligase	puuA	b1297	1359490	1360908
imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase	hisB	b2022	2093468	2094535
Sec translocon accessory complex	yajC // secF // secD		427287	427619
alanine racemase 1	alr	b4053	4265782	4266861
DNA-binding transcriptional repressor LexA	lexA	b4043	4257115	4257723
putative tRNA/rRNA methyltransferase YjtD	yjtD	b4403	4640942	4641628
serine&mdash;tRNA ligase	serS	b0893	939428	940720
pantothenate kinase	coaA	b3974	4174076	4175026
D-lactate dehydrogenase	ldhA	b1380	1441854	1442843
carbon-phosphorus lyase system	phnL // phnK // phnG // phnH // phnI // phnJ		4317215	4317895
ribonucleoside-diphosphate reductase 2, &beta; subunit dimer	nrdF	b2676	2803502	2804461
bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	b2103	2183716	2184516
sensor histidine kinase NarQ	narQ	b2469	2585731	2587431
pyruvate dehydrogenase	aceE	b0114	123017	125680
agmatinase	speB	b2937	3082877	3083797
6-carboxy-5,6,7,8-tetrahydropterin synthase	queD	b2765	2892214	2892579
MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor	mazE // mazF		2911091	2911339
pseudouridine-5'-phosphate glycosidase	psuG	b2165	2257429	2258367
glutaminase 2	glsB	b1524	1612325	1613251
PFL-GrcA complex	pflB // grcA		951272	953554
succinyl-CoA synthetase subunit alpha // succinyl-CoA synthetase subunit beta	sucC // sucD		763014	764180
succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad	sad	b1525	1613315	1614703
DNA-binding transcriptional repressor FrmR	frmR	b0357	379606	379881
xylulokinase	xylB	b3564	3727917	3729371
cytosine/isoguanine deaminase	codA	b0337	356171	357454
SecYEG translocon	secY // secG // secE		3442766	3444097
UDP-glucose 6-dehydrogenase	ugd	b2028	2098447	2099613
Tar<SUP>glu</SUP>	tar // cheW // cheA		1971030	1972691
putative nucleoid-associated protein YbaB	ybaB	b0471	494076	494405
1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr	b0173	193521	194717
dihydroneopterin triphosphate 2'-epimerase	folX	b2303	2421325	2421687
D-ribose pyranase	rbsD	b3748	3933351	3933770
TorS-phospho-L-aspartate-723	torS		1053434	1056178
GTP cyclohydrolase 2	ribA	b1277	1338570	1339160
NADH dehydrogenase (quinone)				
maltodextrin phosphorylase	malP	b3417	3550080	3552473
ATP synthase F<sub>o</sub> complex - subunit c	atpE	b3737	3920950	3921189
acetyl-CoA carboxyltransferase subunit alpha // acetyl-CoA carboxyltransferase subunit beta	accD // accA		2433012	2433926
orotate phosphoribosyltransferase	pyrE	b3642	3815127	3815768
malate dehydrogenase (oxaloacetate-decarboxylating)	maeA	b1479	1553972	1555669
acetyl-CoA:oxalate CoA-transferase	yfdE	b2371	2488023	2489168
exopolyphosphatase	ppx	b2502	2625115	2626656
PhnK dimer	phnK	b4097	4318006	4318764
DNA-binding transcriptional dual regulator MetR	metR	b3828	4011863	4012816
dTDP-glucose 4,6-dehydratase 1	rfbB	b2041	2111976	2113061
3-dehydroquinate dehydratase	aroD	b1693	1774686	1775444
multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	tesA	b0494	519139	519765
pantothenate synthetase	panC	b0133	147944	148795
phosphoglycerate dehydrogenase	serA	b2913	3057178	3058410
3-octaprenyl-4-hydroxybenzoate decarboxylase	ubiD	b3843	4024988	4026481
DNA-binding transcriptional activator UhpA-phosphorylated	uhpA	b3669	3850136	3850726
&beta; sliding clamp	dnaN	b3701	3881221	3882321
taurine ABC transporter periplasmic binding protein // taurine ABC transporter membrane subunit // taurine ABC transporter ATP binding subunit	tauB // tauC // tauA		386207	386974
transketolase 2	tktB	b2465	2579636	2581639
methionine&mdash;tRNA ligase	metG	b2114	2194300	2196333
Xaa-Pro dipeptidase	pepQ	b3847	4031161	4032492
L-carnitine:gamma-butyrobetaine antiporter	caiT	b0040	40417	41931
nucleotide 5'-monophosphate nucleosidase	ppnN	b2795	2926308	2927672
1,4-dihydroxy-2-naphthoyl-CoA hydrolase	menI	b1686	1765222	1765632
dihydromonapterin reductase	folM	b1606	1680976	1681698
carbamoyl-phosphate synthetase, glutamine-hydrolyzing	carA // carB		29651	30799
allantoinase	allB	b0512	539147	540508
serine acetyltransferase	cysE	b3607	3781741	3782562
DNA-binding transcriptional repressor ArsR	arsR	b3501	3648528	3648881
guanosine-5'-triphosphate,3'-diphosphate phosphatase	gpp	b3779	3962745	3964229
homoserine kinase	thrB	b0003	2801	3733
UTP--glucose-1-phosphate uridylyltransferase	galU	b1236	1291457	1292365
UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase	rfe	b3784	3967916	3969019
<I>N</I>-acetyl-D-galactosamine specific PTS (cryptic)	agaW // agaV		3280701	3281102
&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase	fabA	b0954	1015952	1016470
CreC-<i>N</i>-phospho-L-histidine	creC		4636696	4638120
molybdate ABC transporter	modA // modB // modC		795089	795862
formyl-CoA transferase	frc	b2374	2492004	2493254
succinyl-diaminopimelate desuccinylase	dapE	b2472	2591607	2592734
fimbrial complex	fimH // fimG // fimF // fimA		4548808	4549710
dipeptide ABC transporter	dppA // dppC // dppB // dppF // dppD		3706098	3707705
chorismate synthase	aroC	b2329	2446388	2447473
DNA-binding transcriptional dual regulator ModE	modE	b0761	793856	794644
isochorismate synthase MenF	menF	b2265	2379348	2380643
arginine decarboxylase, degradative	adiA	b4117	4338254	4340521
putative ethanolamine catabolic microcompartment shell protein EutN	eutN	b2456	2571763	2572050
sensor histidine kinase EvgS	evgS	b2370	2484374	2487967
spermidine <i>N</i>-acetyltransferase	speG	b1584	1656184	1656744
allose-6-phosphate isomerase / ribose-5-phosphate isomerase B	rpiB	b4090	4313350	4313799
long-chain-fatty-acid&mdash;CoA ligase	fadD	b1805	1888061	1889746
acyl-CoA thioesterase II	tesB	b0452	474301	475161
DNA-binding transcriptional repressor PurR	purR	b1658	1737844	1738869
constitutive ornithine decarboxylase	speC	b2965	3107020	3109155
DNA-binding transcriptional repressor TrpR	trpR	b4393	4632760	4633086
putative transport complex, ABC superfamily	ycjV // ycjN // ycjO // ycjP		1380821	1381789
putative transport complex, ABC superfamily	ynjB // ynjD // ynjC		1836073	1837239
L(+)-tartrate dehydratase subunit alpha // L(+)-tartrate dehydratase subunit beta	ttdB // ttdA		3207371	3207976
GDP-mannose 4,6-dehydratase	gmd	b2053	2127193	2128314
GDP-mannose mannosyl hydrolase	gmm	b2051	2125743	2126222
<i>N</i>-succinylarginine dihydrolase	astB	b1745	1826916	1828259
intermembrane transport protein PqiB	pqiB	b0951	1013259	1014899
anaerobic fatty acid &beta;-oxidation complex	fadJ // fadI		2457015	2459159
PF03887 family protein YfbU	yfbU	b2294	2412100	2412594
EF-P-lysine lysyltransferase	epmA	b4155	4382643	4383620
cell shape determining protein MreC	mreC	b3250	3398875	3399978
D-allose ABC transporter ATP binding subunit // D-allose ABC transporter membrane subunit // D-allose ABC transporter periplasmic binding protein	alsB // alsC // alsA		4311107	4312042
aldehyde dehydrogenase B	aldB	b3588	3754973	3756511
ammonium transporter	amtB	b0451	472966	474252
ribonuclease E inhibitor protein A	rraA	b3929	4118845	4119330
fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	hldE	b3052	3195320	3196753
hydrogenase 1, oxygen tolerant hydrogenase	hyaA // hyaB // hyaC		1032139	1033257
Tar<SUP>gln</SUP>	tar // cheW // cheA		1971030	1972691
methyl-accepting chemotaxis protein Tar	tar	b1886	1971030	1972691
N-acetylmuramic acid-specific PTS enzyme II	crr // murP		2535834	2536343
3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	fabZ	b0180	202101	202556
2,3-diketo-L-gulonate reductase	yiaK	b3575	3742733	3743731
glyoxylate reductase	ghrB	b3553	3717310	3718284
putative multidrug efflux pump MdtNOP	mdtN // mdtO // mdtP		4303078	4304109
maltose outer membrane channel / phage lambda receptor protein	lamB	b4036	4247971	4249311
DNA polymerase III, &psi;-&chi; dimer	holD // holC		4607803	4608216
evolved &beta;-D-galactosidase	ebgC // ebgA		3225722	3226171
diguanylate cyclase DgcE	dgcE	b2067	2143266	2146583
methyl-accepting chemotaxis protein - serine-sensing	tsr	b4355	4591657	4593312
D-amino acid dehydrogenase	dadA	b1189	1237571	1238869
isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	aidB	b4187	4414275	4415900
dihydroxy-acid dehydratase	ilvD	b3771	3953478	3955328
GDP-mannose hydrolase	nudK	b2467	2582903	2583478
aerobic fatty acid oxidation complex	fadA // fadB		4027609	4028772
xylose ABC transporter	xylF // xylH // xylG		3731131	3732123
fructoselysine 3-epimerase	frlC	b4474	3502340	3503170
L-glutamine ABC transporter	glnH // glnP // glnQ		847258	848004
aspartate-semialdehyde dehydrogenase	asd	b3433	3573775	3574878
iron(III) hydroxamate ABC transporter	fhuD // fhuB // fhuC		170575	171465
Autoinducer-2 ABC transporter periplasmic binding protein // Autoinducer-2 ABC transporter membrane subunit LsrD // Autoinducer-2 ABC transporter membrane subunit LsrC // Autoinducer-2 ABC transporter ATP binding subunit	lsrA // lsrC // lsrD // lsrB		1601490	1603025
fused aspartate kinase/homoserine dehydrogenase 2	metL	b3940	4129835	4132267
DNA polymerase III, preinitiation complex	holA // holB // dnaX		670574	671605
D-arabinose 5-phosphate isomerase GutQ	gutQ	b2708	2829813	2830778
RNA polymerase sigma 24	rpoE // rpoA // rpoC // rpoB		2709437	2710012
superoxide dismutase (Mn)	sodA	b3908	4100810	4101430
L-xylulose kinase	lyxK	b3580	3747084	3748580
riboflavin synthase	ribC	b1662	1742601	1743242
ribose-5-phosphate isomerase A	rpiA	b2914	3058666	3059325
DNA-binding transcriptional dual regulator MurR	murR	b2427	2544752	2545609
DNA-binding transcriptional dual regulator FNR	fnr	b1334	1398774	1399526
phosphate acetyltransferase	pta	b2297	2414747	2416891
Cas1-Cas2 complex	cas1 // cas2		2878855	2879772
universal stress protein A	uspA	b3495	3640111	3640545
soluble pyridine nucleotide transhydrogenase	sthA	b3962	4159390	4160790
lipid hydroperoxide peroxidase	tpx	b1324	1388305	1388811
succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD	gabD	b2661	2791273	2792721
5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit // 5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG	mnmG // mnmE		3923744	3925633
thiosulfate/sulfate ABC transporter	cysP // cysU // cysW // cysA		2542512	2543528
peptidase D	pepD	b0237	254259	255716
TorS-<i>N</i>-phospho-L-histidine-443	torS		1053434	1056178
NtrC phosphorylated dimer	glnG		4053869	4055278
molybdopterin synthase	moaE // moaD		819295	819747
carbonic anhydrase 2	can	b0126	142008	142670
DNA-binding transcriptional dual regulator TorR-phosphorylated	torR		1057262	1057954
aspartate kinase III	lysC	b4024	4231884	4233233
ATP synthase F<sub>1</sub> complex	atpD // atpG // atpA // atpH // atpC		3915993	3917375
histidinal/histidinol dehydrogenase	hisD	b2020	2091097	2092401
BglG - his101 phosphorylated	bglG		3905731	3906567
PhnL dimer	phnL	b4096	4317215	4317895
sensor histidine kinase EnvZ	envZ	b3404	3534516	3535868
murein lipoprotein	lpp	b1677	1757421	1757657
ferric citrate ABC transporter	fecB // fecD // fecC // fecE		4513406	4514308
DNA-binding transcriptional dual regulator AraC	araC	b0064	70387	71265
monoacetylchitobiose-6-phosphate hydrolase	chbF	b1734	1817148	1818500
amidophosphoribosyltransferase	purF	b2312	2428721	2430238
tRNA-guanine transglycosylase	tgt	b0406	426137	427264
amino acid racemase YgeA	ygeA	b2840	2979943	2980635
L-ascorbate specific PTS enzyme II	ulaA // ulaB // ulaC		4419980	4421377
serine endoprotease	degS	b3235	3382200	3383267
pyrimidine-specific ribonucleoside hydrolase RihB	rihB	b2162	2254245	2255186
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	kdsA	b1215	1268165	1269019
DNA-binding transcriptional dual regulator TorR	torR	b0995	1057262	1057954
dTDP-4-dehydro-6-deoxy-D-glucose transaminase	wecE	b3791	3975146	3976276
3-sulfolactaldehyde reductase	yihU	b3882	4072675	4073571
osmotically inducible peroxiredoxin OsmC	osmC	b1482	1556625	1557056
ATP synthase F<sub>o</sub> complex - subunit b	atpF	b3736	3920418	3920888
